Statement date,Gross Amount,Category Level 1
29.01.2019,896.67,"Advertising, Marketing & Media"
30.01.2019,899.97,Facilities
30.01.2019,900.00,"Travel, venue hire and exhibition services"
30.01.2019,900.00,"Travel, venue hire and exhibition services"
08.01.2019,910.00,"Advertising, Marketing & Media"
08.01.2019,920.60,"Travel, venue hire and exhibition services"
16.01.2019,936.42,"Advertising, Marketing & Media"
30.01.2019,957.55,"Travel, venue hire and exhibition services"
24.01.2019,960.00,"Travel, venue hire and exhibition services"
15.01.2019,977.00,"Travel, venue hire and exhibition services"
07.01.2019,978.73,"Travel, venue hire and exhibition services"
24.01.2019,984.00,"Travel, venue hire and exhibition services"
29.01.2019,994.46,Facilities
29.01.2019,"1,000.00","Advertising, Marketing & Media"
29.01.2019,"1,000.00","Advertising, Marketing & Media"
30.01.2019,"1,000.00","Advertising, Marketing & Media"
30.01.2019,"1,000.00","Advertising, Marketing & Media"
22.01.2019,"1,000.00","Advertising, Marketing & Media"
22.01.2019,"1,000.00","Advertising, Marketing & Media"
22.01.2019,"1,000.00","Advertising, Marketing & Media"
15.01.2019,"1,000.00","Advertising, Marketing & Media"
08.01.2019,"1,000.00","Advertising, Marketing & Media"
01.01.2019,"1,000.00","Advertising, Marketing & Media"
29.01.2019,"1,003.02",Facilities
30.01.2019,"1,018.65","Travel, venue hire and exhibition services"
29.01.2019,"1,041.80","Travel, venue hire and exhibition services"
15.01.2019,"1,050.00","Advertising, Marketing & Media"
30.01.2019,"1,064.72","Travel, venue hire and exhibition services"
30.01.2019,"1,075.00","Travel, venue hire and exhibition services"
24.01.2019,"1,085.31",Facilities
07.01.2019,"1,087.24","Travel, venue hire and exhibition services"
08.01.2019,"1,090.82","Travel, venue hire and exhibition services"
22.01.2019,"1,092.26","Advertising, Marketing & Media"
08.01.2019,"1,097.54",Professional Services
29.01.2019,"1,099.36","Travel, venue hire and exhibition services"
24.01.2019,"1,107.00",Professional Services
15.01.2019,"1,113.18","Advertising, Marketing & Media"
24.01.2019,"1,126.50","Travel, venue hire and exhibition services"
29.01.2019,"1,128.96","Travel, venue hire and exhibition services"
07.01.2019,"1,140.47","Travel, venue hire and exhibition services"
30.01.2019,"1,152.00","Travel, venue hire and exhibition services"
29.01.2019,"1,194.00","Advertising, Marketing & Media"
22.01.2019,"1,200.00","Advertising, Marketing & Media"
24.01.2019,"1,200.00","Advertising, Marketing & Media"
22.01.2019,"1,200.00","Advertising, Marketing & Media"
16.01.2019,"1,200.00","Advertising, Marketing & Media"
15.01.2019,"1,200.00","Advertising, Marketing & Media"
08.01.2019,"1,200.00","Advertising, Marketing & Media"
08.01.2019,"1,200.00","Advertising, Marketing & Media"
30.01.2019,"1,209.91","Advertising, Marketing & Media"
24.01.2019,"1,361.04","Travel, venue hire and exhibition services"
16.01.2019,"1,372.50","Travel, venue hire and exhibition services"
16.01.2019,"1,372.50","Travel, venue hire and exhibition services"
16.01.2019,"1,372.50","Travel, venue hire and exhibition services"
16.01.2019,"1,372.50","Travel, venue hire and exhibition services"
16.01.2019,"1,372.50","Travel, venue hire and exhibition services"
16.01.2019,"1,372.50","Travel, venue hire and exhibition services"
08.01.2019,"1,440.00",Professional Services
29.01.2019,"1,482.95","Travel, venue hire and exhibition services"
22.01.2019,"1,531.08","Travel, venue hire and exhibition services"
24.01.2019,"1,601.44",Professional Services
24.01.2019,"1,764.67","Travel, venue hire and exhibition services"
24.01.2019,"1,838.35","Advertising, Marketing & Media"
24.01.2019,"1,857.11","Travel, venue hire and exhibition services"
08.01.2019,"1,892.98",IT & Telecoms
30.01.2019,"2,023.77",Facilities
22.01.2019,"2,080.97",Professional Services
24.01.2019,"2,184.36","Travel, venue hire and exhibition services"
24.01.2019,"3,072.00","Travel, venue hire and exhibition services"
15.01.2019,"3,072.00","Travel, venue hire and exhibition services"
15.01.2019,"3,400.17","Travel, venue hire and exhibition services"
24.01.2019,"3,909.57","Travel, venue hire and exhibition services"
08.01.2019,"4,418.10","Travel, venue hire and exhibition services"
01.01.2019,"4,557.23","Travel, venue hire and exhibition services"
30.01.2019,"4,836.81","Travel, venue hire and exhibition services"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
