Sent for Payment Date,Approved Amount (rpt),Category Level 1
23/03/2019,697.90,"Travel, venue hire and exhibition services"
06/03/2019,698.54,Human Resources
12/03/2019,699.00,"Travel, venue hire and exhibition services"
27/03/2019,699.03,"Travel, venue hire and exhibition services"
25/03/2019,700.00,"Advertising, Marketing & Media"
25/03/2019,700.00,"Advertising, Marketing & Media"
25/03/2019,700.00,"Advertising, Marketing & Media"
25/03/2019,700.00,"Advertising, Marketing & Media"
25/03/2019,700.00,"Advertising, Marketing & Media"
25/03/2019,700.00,"Advertising, Marketing & Media"
28/03/2019,700.33,IT & Telecoms
27/03/2019,700.53,"Travel, venue hire and exhibition services"
28/03/2019,700.78,"Advertising, Marketing & Media"
05/03/2019,702.67,"Advertising, Marketing & Media"
29/03/2019,704.58,IT & Telecoms
27/03/2019,704.85,"Travel, venue hire and exhibition services"
27/03/2019,704.94,Facilities
05/03/2019,705.20,"Advertising, Marketing & Media"
20/03/2019,705.46,"Travel, venue hire and exhibition services"
04/03/2019,718.59,"Travel, venue hire and exhibition services"
27/03/2019,720.00,"Travel, venue hire and exhibition services"
13/03/2019,720.24,Facilities
26/03/2019,723.76,"Travel, venue hire and exhibition services"
23/03/2019,723.78,Facilities
29/03/2019,724.81,Facilities
06/03/2019,728.17,"Travel, venue hire and exhibition services"
27/03/2019,728.90,Human Resources
27/03/2019,729.97,Facilities
27/03/2019,734.07,IT & Telecoms
25/03/2019,744.00,"Travel, venue hire and exhibition services"
06/03/2019,751.05,"Travel, venue hire and exhibition services"
21/03/2019,751.20,Facilities
27/03/2019,751.86,Human Resources
27/03/2019,757.00,IT & Telecoms
04/03/2019,760.25,Facilities
13/03/2019,761.36,"Travel, venue hire and exhibition services"
24/03/2019,762.57,"Travel, venue hire and exhibition services"
27/03/2019,768.84,Human Resources
17/03/2019,772.42,"Travel, venue hire and exhibition services"
21/03/2019,772.94,"Travel, venue hire and exhibition services"
20/03/2019,773.36,"Travel, venue hire and exhibition services"
14/03/2019,774.14,"Travel, venue hire and exhibition services"
