Statement date,Gross Amount,Category Level 1
31.07.2018,500.00,"Advertising, Marketing & Media"
31.07.2018,500.00,"Advertising, Marketing & Media"
31.07.2018,500.00,"Advertising, Marketing & Media"
31.07.2018,500.00,"Advertising, Marketing & Media"
31.07.2018,500.00,"Advertising, Marketing & Media"
31.07.2018,500.00,"Advertising, Marketing & Media"
31.07.2018,500.00,"Advertising, Marketing & Media"
31.07.2018,501.65,"Travel, venue hire and exhibition services"
31.07.2018,501.69,"Travel, venue hire and exhibition services"
31.07.2018,502.44,"Advertising, Marketing & Media"
31.07.2018,503.04,"Travel, venue hire and exhibition services"
31.07.2018,506.21,"Travel, venue hire and exhibition services"
31.07.2018,507.86,Facilities
31.07.2018,512.43,"Travel, venue hire and exhibition services"
31.07.2018,514.67,"Advertising, Marketing & Media"
31.07.2018,515.05,"Travel, venue hire and exhibition services"
31.07.2018,516.65,"Travel, venue hire and exhibition services"
31.07.2018,518.94,"Travel, venue hire and exhibition services"
31.07.2018,522.45,"Advertising, Marketing & Media"
31.07.2018,524.00,"Travel, venue hire and exhibition services"
31.07.2018,526.84,"Advertising, Marketing & Media"
31.07.2018,526.85,"Advertising, Marketing & Media"
31.07.2018,530.65,"Advertising, Marketing & Media"
31.07.2018,531.15,"Advertising, Marketing & Media"
31.07.2018,533.75,"Advertising, Marketing & Media"
31.07.2018,537.49,"Travel, venue hire and exhibition services"
31.07.2018,542.23,"Travel, venue hire and exhibition services"
31.07.2018,544.95,"Advertising, Marketing & Media"
31.07.2018,546.29,"Travel, venue hire and exhibition services"
31.07.2018,548.36,"Travel, venue hire and exhibition services"
31.07.2018,550.50,"Travel, venue hire and exhibition services"
31.07.2018,553.54,"Advertising, Marketing & Media"
31.07.2018,562.94,"Travel, venue hire and exhibition services"
31.07.2018,564.96,"Advertising, Marketing & Media"
31.07.2018,568.36,"Advertising, Marketing & Media"
31.07.2018,570.53,"Advertising, Marketing & Media"
31.07.2018,570.59,"Travel, venue hire and exhibition services"
31.07.2018,576.97,"Advertising, Marketing & Media"
31.07.2018,589.10,"Advertising, Marketing & Media"
31.07.2018,591.80,"Travel, venue hire and exhibition services"
31.07.2018,593.67,"Advertising, Marketing & Media"
31.07.2018,594.71,"Advertising, Marketing & Media"
31.07.2018,599.42,"Advertising, Marketing & Media"
31.07.2018,601.11,Facilities
31.07.2018,615.22,"Travel, venue hire and exhibition services"
31.07.2018,625.49,"Travel, venue hire and exhibition services"
31.07.2018,635.19,"Travel, venue hire and exhibition services"
31.07.2018,644.08,"Travel, venue hire and exhibition services"
31.07.2018,650.00,Facilities
31.07.2018,656.61,"Travel, venue hire and exhibition services"
31.07.2018,657.36,"Travel, venue hire and exhibition services"
31.07.2018,661.73,Facilities
31.07.2018,682.86,"Travel, venue hire and exhibition services"
31.07.2018,685.00,"Travel, venue hire and exhibition services"
31.07.2018,685.81,Facilities
31.07.2018,702.81,"Travel, venue hire and exhibition services"
31.07.2018,719.51,"Travel, venue hire and exhibition services"
31.07.2018,727.65,"Travel, venue hire and exhibition services"
31.07.2018,732.78,Facilities
31.07.2018,740.31,"Travel, venue hire and exhibition services"
31.07.2018,744.66,"Travel, venue hire and exhibition services"
31.07.2018,746.20,"Travel, venue hire and exhibition services"
31.07.2018,750.00,"Travel, venue hire and exhibition services"
31.07.2018,752.40,"Advertising, Marketing & Media"
31.07.2018,757.66,"Travel, venue hire and exhibition services"
31.07.2018,773.60,"Travel, venue hire and exhibition services"
31.07.2018,774.99,"Travel, venue hire and exhibition services"
31.07.2018,789.83,"Travel, venue hire and exhibition services"
31.07.2018,805.44,"Travel, venue hire and exhibition services"
31.07.2018,807.12,"Travel, venue hire and exhibition services"
31.07.2018,809.28,IT & Telecoms
31.07.2018,833.14,"Advertising, Marketing & Media"
31.07.2018,833.91,"Travel, venue hire and exhibition services"
31.07.2018,838.11,"Advertising, Marketing & Media"
31.07.2018,865.15,"Travel, venue hire and exhibition services"
31.07.2018,866.83,"Travel, venue hire and exhibition services"
31.07.2018,870.32,"Travel, venue hire and exhibition services"
31.07.2018,873.15,"Travel, venue hire and exhibition services"
31.07.2018,873.49,"Travel, venue hire and exhibition services"
31.07.2018,896.83,"Advertising, Marketing & Media"
31.07.2018,900.00,"Travel, venue hire and exhibition services"
31.07.2018,906.38,Facilities
31.07.2018,914.57,"Advertising, Marketing & Media"
31.07.2018,922.91,"Advertising, Marketing & Media"
31.07.2018,944.61,IT & Telecoms
31.07.2018,948.00,"Travel, venue hire and exhibition services"
31.07.2018,951.50,"Advertising, Marketing & Media"
31.07.2018,975.00,Facilities
31.07.2018,987.35,"Travel, venue hire and exhibition services"
31.07.2018,988.76,Professional Services
31.07.2018,"1,000.00","Advertising, Marketing & Media"
31.07.2018,"1,000.00","Advertising, Marketing & Media"
31.07.2018,"1,000.00","Advertising, Marketing & Media"
31.07.2018,"1,044.80","Travel, venue hire and exhibition services"
31.07.2018,"1,050.00","Travel, venue hire and exhibition services"
31.07.2018,"1,050.00","Advertising, Marketing & Media"
31.07.2018,"1,084.01","Travel, venue hire and exhibition services"
31.07.2018,"1,107.25","Travel, venue hire and exhibition services"
31.07.2018,"1,154.43","Travel, venue hire and exhibition services"
31.07.2018,"1,190.18","Travel, venue hire and exhibition services"
31.07.2018,"1,209.51","Travel, venue hire and exhibition services"
31.07.2018,"1,258.00","Travel, venue hire and exhibition services"
31.07.2018,"1,270.00","Travel, venue hire and exhibition services"
31.07.2018,"1,332.47","Travel, venue hire and exhibition services"
31.07.2018,"1,340.88","Travel, venue hire and exhibition services"
31.07.2018,"1,343.64","Travel, venue hire and exhibition services"
31.07.2018,"1,363.99","Travel, venue hire and exhibition services"
31.07.2018,"1,370.00","Travel, venue hire and exhibition services"
31.07.2018,"1,388.54","Travel, venue hire and exhibition services"
31.07.2018,"1,440.78",Facilities
31.07.2018,"1,458.32","Travel, venue hire and exhibition services"
31.07.2018,"1,472.48","Travel, venue hire and exhibition services"
31.07.2018,"1,487.03",IT & Telecoms
31.07.2018,"1,500.00","Advertising, Marketing & Media"
31.07.2018,"1,500.00","Advertising, Marketing & Media"
31.07.2018,"1,500.00",Professional Services
31.07.2018,"1,530.52","Travel, venue hire and exhibition services"
31.07.2018,"1,556.36","Travel, venue hire and exhibition services"
31.07.2018,"1,618.07","Travel, venue hire and exhibition services"
31.07.2018,"1,656.00","Travel, venue hire and exhibition services"
31.07.2018,"1,685.31","Travel, venue hire and exhibition services"
31.07.2018,"1,706.35","Travel, venue hire and exhibition s+C9ervices"
31.07.2018,"1,708.02","Travel, venue hire and exhibition services"
31.07.2018,"1,709.65","Travel, venue hire and exhibition services"
31.07.2018,"1,739.28","Travel, venue hire and exhibition services"
31.07.2018,"1,846.23","Travel, venue hire and exhibition services"
31.07.2018,"1,904.44","Travel, venue hire and exhibition services"
31.07.2018,"1,966.96","Travel, venue hire and exhibition services"
31.07.2018,"2,000.00","Advertising, Marketing & Media"
31.07.2018,"2,000.00","Advertising, Marketing & Media"
31.07.2018,"2,000.00","Advertising, Marketing & Media"
31.07.2018,"2,424.31","Travel, venue hire and exhibition services"
31.07.2018,"2,919.85",Professional Services
31.07.2018,"3,522.22","Travel, venue hire and exhibition services"
31.07.2018,"3,780.40","Travel, venue hire and exhibition services"
31.07.2018,"3,951.22","Travel, venue hire and exhibition services"
31.07.2018,"4,995.36","Travel, venue hire and exhibition services"
