Sent for Payment Date,Approved Amount (rpt),Category Level 1
04/07/2017,"1,973.42","Travel, venue hire and exhibition services"
27/07/2017,"1,995.00",Human Resources
13/07/2017,"2,194.30","Travel, venue hire and exhibition services"
24/07/2017,"2,290.38",Facilities
27/07/2017,"2,299.25","Travel, venue hire and exhibition services"
17/07/2017,"2,472.54","Travel, venue hire and exhibition services"
03/07/2017,"2,625.30","Travel, venue hire and exhibition services"
04/07/2017,"2,655.18","Travel, venue hire and exhibition services"
18/07/2017,"2,801.53","Travel, venue hire and exhibition services"
31/07/2017,"2,942.47","Travel, venue hire and exhibition services"
27/07/2017,"2,949.06","Travel, venue hire and exhibition services"
03/07/2017,"2,999.88",IT & Telecoms
26/07/2017,"4,560.00",Human Resources
22/07/2017,"4,862.89","Travel, venue hire and exhibition services"
31/07/2017,"6,736.50",Human Resources
