Sent for Payment Date,Approved Amount (rpt),Category Level 1
06/06/2019,500.00,"Advertising, Marketing & Media"
06/06/2019,500.00,"Advertising, Marketing & Media"
05/06/2019,502.15,"Travel, venue hire and exhibition services"
28/06/2019,502.39,"Travel, venue hire and exhibition services"
08/06/2019,505.02,Facilities
27/06/2019,508.12,Facilities
25/06/2019,509.94,"Advertising, Marketing & Media"
13/06/2019,511.84,"Travel, venue hire and exhibition services"
24/06/2019,512.86,Human Resources
26/06/2019,513.27,"Travel, venue hire and exhibition services"
28/06/2019,515.71,"Advertising, Marketing & Media"
05/06/2019,518.52,Facilities
06/06/2019,520.00,Human Resources
05/06/2019,522.00,"Travel, venue hire and exhibition services"
28/06/2019,527.93,"Travel, venue hire and exhibition services"
11/06/2019,545.40,"Travel, venue hire and exhibition services"
25/06/2019,547.03,"Travel, venue hire and exhibition services"
27/06/2019,550.00,"Travel, venue hire and exhibition services"
17/06/2019,556.92,"Travel, venue hire and exhibition services"
03/06/2019,559.76,"Travel, venue hire and exhibition services"
08/06/2019,563.80,"Travel, venue hire and exhibition services"
25/06/2019,567.88,"Travel, venue hire and exhibition services"
03/06/2019,572.30,Facilities
24/06/2019,576.00,IT & Telecoms
20/06/2019,585.29,"Travel, venue hire and exhibition services"
06/06/2019,598.50,Facilities
05/06/2019,599.88,Human Resources
07/06/2019,600.00,"Advertising, Marketing & Media"
07/06/2019,600.00,"Advertising, Marketing & Media"
07/06/2019,600.00,"Advertising, Marketing & Media"
07/06/2019,600.00,"Advertising, Marketing & Media"
07/06/2019,600.00,"Advertising, Marketing & Media"
07/06/2019,600.00,"Advertising, Marketing & Media"
07/06/2019,600.00,"Advertising, Marketing & Media"
26/06/2019,601.02,IT & Telecoms
12/06/2019,601.31,"Travel, venue hire and exhibition services"
16/06/2019,608.45,"Travel, venue hire and exhibition services"
05/06/2019,613.12,"Travel, venue hire and exhibition services"
21/06/2019,623.10,Human Resources
05/06/2019,663.01,"Travel, venue hire and exhibition services"
23/06/2019,670.80,"Travel, venue hire and exhibition services"
04/06/2019,673.40,"Travel, venue hire and exhibition services"
16/06/2019,683.50,Facilities
04/06/2019,683.52,Human Resources
10/06/2019,684.00,Human Resources
16/06/2019,684.10,Facilities
12/06/2019,692.02,"Travel, venue hire and exhibition services"
10/06/2019,694.51,"Travel, venue hire and exhibition services"
13/06/2019,700.00,"Advertising, Marketing & Media"
26/06/2019,704.00,Human Resources
20/06/2019,707.42,"Travel, venue hire and exhibition services"
10/06/2019,712.37,"Travel, venue hire and exhibition services"
26/06/2019,713.40,IT & Telecoms
08/06/2019,747.55,Facilities
23/06/2019,752.25,"Travel, venue hire and exhibition services"
12/06/2019,757.00,Human Resources
29/06/2019,758.12,Facilities
12/06/2019,760.29,"Travel, venue hire and exhibition services"
24/06/2019,770.04,"Travel, venue hire and exhibition services"
13/06/2019,772.52,"Travel, venue hire and exhibition services"
04/06/2019,777.28,IT & Telecoms
30/06/2019,780.12,Human Resources
06/06/2019,785.00,"Travel, venue hire and exhibition services"
25/06/2019,789.79,"Travel, venue hire and exhibition services"
13/06/2019,805.48,Facilities
05/06/2019,809.54,"Travel, venue hire and exhibition services"
24/06/2019,813.57,"Travel, venue hire and exhibition services"
12/06/2019,827.24,IT & Telecoms
30/06/2019,831.45,"Travel, venue hire and exhibition services"
08/06/2019,835.83,"Travel, venue hire and exhibition services"
13/06/2019,842.55,Facilities
27/06/2019,854.92,"Travel, venue hire and exhibition services"
06/06/2019,870.00,Human Resources
24/06/2019,883.67,Facilities
19/06/2019,886.50,"Travel, venue hire and exhibition services"
28/06/2019,890.17,"Travel, venue hire and exhibition services"
12/06/2019,892.03,Facilities
08/06/2019,902.14,Human Resources
12/06/2019,913.50,"Travel, venue hire and exhibition services"
08/06/2019,921.47,"Travel, venue hire and exhibition services"
21/06/2019,925.92,"Advertising, Marketing & Media"
15/06/2019,926.18,"Travel, venue hire and exhibition services"
13/06/2019,934.31,"Travel, venue hire and exhibition services"
06/06/2019,937.76,"Travel, venue hire and exhibition services"
03/06/2019,938.41,"Travel, venue hire and exhibition services"
16/06/2019,950.83,"Travel, venue hire and exhibition services"
12/06/2019,"1,006.29","Travel, venue hire and exhibition services"
28/06/2019,"1,014.12",Human Resources
03/06/2019,"1,017.30",Human Resources
08/06/2019,"1,067.29",Facilities
04/06/2019,"1,080.99","Travel, venue hire and exhibition services"
15/06/2019,"1,082.65",Human Resources
05/06/2019,"1,084.08","Travel, venue hire and exhibition services"
18/06/2019,"1,200.00",Human Resources
26/06/2019,"1,204.77","Travel, venue hire and exhibition services"
05/06/2019,"1,204.93","Travel, venue hire and exhibition services"
12/06/2019,"1,248.37","Travel, venue hire and exhibition services"
15/06/2019,"1,284.40","Travel, venue hire and exhibition services"
04/06/2019,"1,296.00",Human Resources
08/06/2019,"1,306.28","Travel, venue hire and exhibition services"
24/06/2019,"1,319.34",IT & Telecoms
25/06/2019,"1,319.90","Travel, venue hire and exhibition services"
25/06/2019,"1,370.56",Facilities
04/06/2019,"1,383.75","Travel, venue hire and exhibition services"
27/06/2019,"1,418.90","Travel, venue hire and exhibition services"
05/06/2019,"1,476.03","Travel, venue hire and exhibition services"
05/06/2019,"1,486.07","Travel, venue hire and exhibition services"
05/06/2019,"1,490.09","Travel, venue hire and exhibition services"
05/06/2019,"1,491.89","Travel, venue hire and exhibition services"
04/06/2019,"1,493.16","Travel, venue hire and exhibition services"
05/06/2019,"1,496.11","Travel, venue hire and exhibition services"
03/06/2019,"1,499.70",IT & Telecoms
04/06/2019,"1,500.00","Travel, venue hire and exhibition services"
29/06/2019,"1,504.31",Facilities
06/06/2019,"1,515.64","Travel, venue hire and exhibition services"
25/06/2019,"1,541.44","Travel, venue hire and exhibition services"
09/06/2019,"1,624.42",Human Resources
26/06/2019,"1,726.86","Travel, venue hire and exhibition services"
28/06/2019,"1,762.52",Human Resources
26/06/2019,"1,766.51",IT & Telecoms
20/06/2019,"1,776.47","Travel, venue hire and exhibition services"
25/06/2019,"1,801.03","Travel, venue hire and exhibition services"
27/06/2019,"1,867.74","Travel, venue hire and exhibition services"
14/06/2019,"1,908.00",Human Resources
26/06/2019,"1,910.60",IT & Telecoms
20/06/2019,"1,947.68",Human Resources
26/06/2019,"1,971.00","Travel, venue hire and exhibition services"
23/06/2019,"2,113.89","Travel, venue hire and exhibition services"
07/06/2019,"2,151.00",Human Resources
21/06/2019,"2,220.76","Travel, venue hire and exhibition services"
18/06/2019,"2,271.00",IT & Telecoms
04/06/2019,"2,592.00",Human Resources
19/06/2019,"2,604.17","Travel, venue hire and exhibition services"
04/06/2019,"2,614.21",IT & Telecoms
04/06/2019,"2,682.62","Travel, venue hire and exhibition services"
12/06/2019,"2,726.00","Travel, venue hire and exhibition services"
24/06/2019,"2,734.54","Travel, venue hire and exhibition services"
15/06/2019,"3,000.00","Travel, venue hire and exhibition services"
03/06/2019,"3,000.00","Travel, venue hire and exhibition services"
24/06/2019,"3,129.61",Facilities
15/06/2019,"4,139.70","Advertising, Marketing & Media"
17/06/2019,"4,500.00",Human Resources
12/06/2019,"8,218.12",Facilities
05/06/2019,"9,492.00",Human Resources
26/06/2019,"26,994.76",IT & Telecoms
26/06/2019,"56,931.69",IT & Telecoms
