Statement date,Gross Amount,Category Level 1
30.08.2017,500.00,"Advertising, Marketing & Media"
30.08.2017,500.00,"Advertising, Marketing & Media"
30.08.2017,500.18,"Advertising, Marketing & Media"
30.08.2017,502.70,Facilities
30.08.2017,505.44,"Advertising, Marketing & Media"
30.08.2017,516.17,"Advertising, Marketing & Media"
30.08.2017,516.41,"Advertising, Marketing & Media"
30.08.2017,525.27,Facilities
30.08.2017,525.97,"Travel, venue hire and exhibition services"
30.08.2017,529.36,"Travel, venue hire and exhibition services"
30.08.2017,529.36,"Travel, venue hire and exhibition services"
30.08.2017,529.36,"Travel, venue hire and exhibition services"
30.08.2017,529.36,"Travel, venue hire and exhibition services"
30.08.2017,529.36,"Travel, venue hire and exhibition services"
30.08.2017,532.68,"Travel, venue hire and exhibition services"
30.08.2017,536.31,"Travel, venue hire and exhibition services"
30.08.2017,536.56,"Travel, venue hire and exhibition services"
30.08.2017,542.86,"Travel, venue hire and exhibition services"
30.08.2017,542.86,"Travel, venue hire and exhibition services"
30.08.2017,542.86,"Travel, venue hire and exhibition services"
30.08.2017,545.39,"Travel, venue hire and exhibition services"
30.08.2017,545.39,"Travel, venue hire and exhibition services"
30.08.2017,545.39,"Travel, venue hire and exhibition services"
30.08.2017,545.61,"Travel, venue hire and exhibition services"
30.08.2017,545.61,"Travel, venue hire and exhibition services"
30.08.2017,548.19,"Travel, venue hire and exhibition services"
30.08.2017,552.55,"Advertising, Marketing & Media"
30.08.2017,554.78,"Advertising, Marketing & Media"
30.08.2017,555.82,"Advertising, Marketing & Media"
30.08.2017,556.01,"Advertising, Marketing & Media"
30.08.2017,556.45,"Travel, venue hire and exhibition services"
30.08.2017,561.44,"Advertising, Marketing & Media"
30.08.2017,562.39,"Advertising, Marketing & Media"
30.08.2017,563.07,"Travel, venue hire and exhibition services"
30.08.2017,566.98,"Advertising, Marketing & Media"
30.08.2017,572.05,"Travel, venue hire and exhibition services"
30.08.2017,573.26,Facilities
30.08.2017,573.45,"Travel, venue hire and exhibition services"
30.08.2017,574.17,"Advertising, Marketing & Media"
30.08.2017,583.66,"Advertising, Marketing & Media"
30.08.2017,583.96,"Travel, venue hire and exhibition services"
30.08.2017,587.40,"Advertising, Marketing & Media"
30.08.2017,588.22,"Advertising, Marketing & Media"
30.08.2017,590.68,"Travel, venue hire and exhibition services"
30.08.2017,594.00,"Travel, venue hire and exhibition services"
30.08.2017,594.57,"Advertising, Marketing & Media"
30.08.2017,596.77,Facilities
30.08.2017,599.66,"Advertising, Marketing & Media"
30.08.2017,600.00,"Travel, venue hire and exhibition services"
30.08.2017,600.00,"Travel, venue hire and exhibition services"
30.08.2017,600.00,"Travel, venue hire and exhibition services"
30.08.2017,600.00,Professional Services
30.08.2017,600.00,Professional Services
30.08.2017,600.00,"Advertising, Marketing & Media"
30.08.2017,600.01,"Advertising, Marketing & Media"
30.08.2017,600.04,"Advertising, Marketing & Media"
30.08.2017,600.86,"Advertising, Marketing & Media"
30.08.2017,601.31,"Travel, venue hire and exhibition services"
30.08.2017,603.16,"Advertising, Marketing & Media"
30.08.2017,612.95,"Advertising, Marketing & Media"
30.08.2017,614.45,"Travel, venue hire and exhibition services"
30.08.2017,615.86,"Travel, venue hire and exhibition services"
30.08.2017,616.16,Facilities
30.08.2017,623.80,"Travel, venue hire and exhibition services"
30.08.2017,625.18,"Travel, venue hire and exhibition services"
30.08.2017,625.34,"Travel, venue hire and exhibition services"
30.08.2017,638.19,"Travel, venue hire and exhibition services"
30.08.2017,640.00,"Travel, venue hire and exhibition services"
30.08.2017,652.87,"Travel, venue hire and exhibition services"
30.08.2017,661.98,Facilities
30.08.2017,668.90,"Travel, venue hire and exhibition services"
30.08.2017,686.88,"Travel, venue hire and exhibition services"
30.08.2017,696.58,"Travel, venue hire and exhibition services"
30.08.2017,701.22,"Travel, venue hire and exhibition services"
30.08.2017,703.58,"Travel, venue hire and exhibition services"
30.08.2017,742.50,"Travel, venue hire and exhibition services"
30.08.2017,780.59,"Travel, venue hire and exhibition services"
30.08.2017,786.05,"Travel, venue hire and exhibition services"
30.08.2017,788.85,"Travel, venue hire and exhibition services"
30.08.2017,831.00,"Travel, venue hire and exhibition services"
30.08.2017,860.00,"Travel, venue hire and exhibition services"
30.08.2017,866.44,Professional Services
30.08.2017,890.62,"Travel, venue hire and exhibition services"
30.08.2017,907.69,"Travel, venue hire and exhibition services"
30.08.2017,930.77,"Travel, venue hire and exhibition services"
30.08.2017,934.09,Professional Services
30.08.2017,954.01,"Advertising, Marketing & Media"
30.08.2017,965.00,"Travel, venue hire and exhibition services"
30.08.2017,"1,000.00","Advertising, Marketing & Media"
30.08.2017,"1,000.00","Advertising, Marketing & Media"
30.08.2017,"1,000.00","Advertising, Marketing & Media"
30.08.2017,"1,000.00","Advertising, Marketing & Media"
30.08.2017,"1,019.06","Travel, venue hire and exhibition services"
30.08.2017,"1,029.00",Professional Services
30.08.2017,"1,050.00","Advertising, Marketing & Media"
30.08.2017,"1,050.00",Facilities
30.08.2017,"1,083.52","Travel, venue hire and exhibition services"
30.08.2017,"1,131.21","Advertising, Marketing & Media"
30.08.2017,"1,132.63",IT & Telecoms
30.08.2017,"1,132.63",IT & Telecoms
30.08.2017,"1,137.68",Professional Services
30.08.2017,"1,148.00","Travel, venue hire and exhibition services"
30.08.2017,"1,169.74","Travel, venue hire and exhibition services"
30.08.2017,"1,188.00","Travel, venue hire and exhibition services"
30.08.2017,"1,188.00","Travel, venue hire and exhibition services"
30.08.2017,"1,200.00","Travel, venue hire and exhibition services"
30.08.2017,"1,202.61","Travel, venue hire and exhibition services"
30.08.2017,"1,202.61","Travel, venue hire and exhibition services"
30.08.2017,"1,237.74","Travel, venue hire and exhibition services"
30.08.2017,"1,327.54",IT & Telecoms
30.08.2017,"1,336.50","Travel, venue hire and exhibition services"
30.08.2017,"1,352.00","Travel, venue hire and exhibition services"
30.08.2017,"1,352.00","Travel, venue hire and exhibition services"
30.08.2017,"1,358.85","Advertising, Marketing & Media"
30.08.2017,"1,402.27",Professional Services
30.08.2017,"1,425.01","Travel, venue hire and exhibition services"
30.08.2017,"1,449.16","Advertising, Marketing & Media"
30.08.2017,"1,558.20",Professional Services
30.08.2017,"1,754.87","Travel, venue hire and exhibition services"
30.08.2017,"1,756.88","Advertising, Marketing & Media"
30.08.2017,"1,811.18","Travel, venue hire and exhibition services"
30.08.2017,"2,000.00","Advertising, Marketing & Media"
30.08.2017,"2,000.00","Advertising, Marketing & Media"
30.08.2017,"2,000.00","Advertising, Marketing & Media"
30.08.2017,"2,000.00","Advertising, Marketing & Media"
30.08.2017,"2,221.20",Professional Services
30.08.2017,"2,241.32","Travel, venue hire and exhibition services"
30.08.2017,"2,632.49",Professional Services
30.08.2017,"2,685.65",Professional Services
