Statement date,Gross Amount,Category Level 1
01.11.2018,900.00,"Travel, venue hire and exhibition services"
01.11.2018,900.00,"Travel, venue hire and exhibition services"
01.11.2018,904.41,"Travel, venue hire and exhibition services"
01.11.2018,904.62,Facilities
01.11.2018,906.89,"Travel, venue hire and exhibition services"
01.11.2018,915.12,"Travel, venue hire and exhibition services"
01.11.2018,936.71,"Travel, venue hire and exhibition services"
01.11.2018,974.60,"Travel, venue hire and exhibition services"
01.11.2018,976.14,"Travel, venue hire and exhibition services"
01.11.2018,"1,000.00","Advertising, Marketing & Media"
01.11.2018,"1,000.00","Advertising, Marketing & Media"
01.11.2018,"1,000.00","Advertising, Marketing & Media"
01.11.2018,"1,000.00","Advertising, Marketing & Media"
01.11.2018,"1,000.00","Advertising, Marketing & Media"
01.11.2018,"1,000.00","Advertising, Marketing & Media"
01.11.2018,"1,017.12","Travel, venue hire and exhibition services"
01.11.2018,"1,017.71","Travel, venue hire and exhibition services"
01.11.2018,"1,019.64",Facilities
01.11.2018,"1,025.00","Travel, venue hire and exhibition services"
01.11.2018,"1,039.79",Facilities
01.11.2018,"1,044.10","Travel, venue hire and exhibition services"
01.11.2018,"1,050.00","Advertising, Marketing & Media"
01.11.2018,"1,058.25","Travel, venue hire and exhibition services"
01.11.2018,"1,061.71","Travel, venue hire and exhibition services"
01.11.2018,"1,092.73",Facilities
01.11.2018,"1,105.24",Professional Services
01.11.2018,"1,109.80","Travel, venue hire and exhibition services"
01.11.2018,"1,120.76","Travel, venue hire and exhibition services"
01.11.2018,"1,120.76","Travel, venue hire and exhibition services"
01.11.2018,"1,125.00",Professional Services
01.11.2018,"1,130.36","Travel, venue hire and exhibition services"
01.11.2018,"1,139.98","Travel, venue hire and exhibition services"
01.11.2018,"1,141.18","Travel, venue hire and exhibition services"
01.11.2018,"1,187.42",Facilities
01.11.2018,"1,200.00","Advertising, Marketing & Media"
01.11.2018,"1,200.00","Advertising, Marketing & Media"
01.11.2018,"1,218.76",Facilities
01.11.2018,"1,241.82","Travel, venue hire and exhibition services"
01.11.2018,"1,250.50",Professional Services
01.11.2018,"1,296.00","Travel, venue hire and exhibition services"
01.11.2018,"1,315.68","Travel, venue hire and exhibition services"
01.11.2018,"1,347.30",IT & Telecoms
01.11.2018,"1,350.00","Travel, venue hire and exhibition services"
01.11.2018,"1,391.61","Travel, venue hire and exhibition services"
01.11.2018,"1,421.25",Professional Services
01.11.2018,"1,425.22","Advertising, Marketing & Media"
01.11.2018,"1,442.44","Travel, venue hire and exhibition services"
01.11.2018,"1,442.96",Facilities
01.11.2018,"1,509.42",Facilities
01.11.2018,"1,510.85",Facilities
01.11.2018,"1,527.16","Travel, venue hire and exhibition services"
01.11.2018,"1,781.45","Travel, venue hire and exhibition services"
01.11.2018,"1,782.52",Facilities
01.11.2018,"1,959.87",IT & Telecoms
01.11.2018,"1,968.06","Travel, venue hire and exhibition services"
01.11.2018,"2,013.88",Professional Services
01.11.2018,"2,153.09",Facilities
01.11.2018,"2,178.00","Travel, venue hire and exhibition services"
01.11.2018,"2,212.69",Professional Services
01.11.2018,"2,240.00",Professional Services
01.11.2018,"2,240.00",Professional Services
01.11.2018,"2,613.03","Travel, venue hire and exhibition services"
01.11.2018,"2,614.31","Travel, venue hire and exhibition services"
01.11.2018,"2,748.45","Travel, venue hire and exhibition services"
01.11.2018,"2,810.14","Travel, venue hire and exhibition services"
01.11.2018,"2,856.53","Travel, venue hire and exhibition services"
01.11.2018,"3,901.84","Travel, venue hire and exhibition services"
01.11.2018,"4,160.00","Travel, venue hire and exhibition services"
01.11.2018,"4,267.32","Advertising, Marketing & Media"
