Statement date,Gross Amount,Category Level 1
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.00,"Advertising, Marketing & Media"
30.11.2017,500.28,"Travel, venue hire and exhibition services"
30.11.2017,501.58,"Advertising, Marketing & Media"
30.11.2017,504.61,"Travel, venue hire and exhibition services"
30.11.2017,504.61,"Travel, venue hire and exhibition services"
30.11.2017,504.61,"Travel, venue hire and exhibition services"
30.11.2017,509.19,"Advertising, Marketing & Media"
30.11.2017,510.96,"Advertising, Marketing & Media"
30.11.2017,513.04,"Travel, venue hire and exhibition services"
30.11.2017,513.47,"Travel, venue hire and exhibition services"
30.11.2017,513.48,"Travel, venue hire and exhibition services"
30.11.2017,514.89,"Travel, venue hire and exhibition services"
30.11.2017,515.64,"Travel, venue hire and exhibition services"
30.11.2017,516.11,"Travel, venue hire and exhibition services"
30.11.2017,522.29,"Travel, venue hire and exhibition services"
30.11.2017,522.39,"Advertising, Marketing & Media"
30.11.2017,524.18,"Travel, venue hire and exhibition services"
30.11.2017,526.06,"Advertising, Marketing & Media"
30.11.2017,527.74,"Travel, venue hire and exhibition services"
30.11.2017,531.72,"Advertising, Marketing & Media"
30.11.2017,532.52,"Travel, venue hire and exhibition services"
30.11.2017,533.21,"Advertising, Marketing & Media"
30.11.2017,533.32,"Advertising, Marketing & Media"
30.11.2017,535.70,Facilities
30.11.2017,535.73,"Travel, venue hire and exhibition services"
30.11.2017,538.24,"Advertising, Marketing & Media"
30.11.2017,539.60,"Advertising, Marketing & Media"
30.11.2017,540.57,"Travel, venue hire and exhibition services"
30.11.2017,541.09,"Advertising, Marketing & Media"
30.11.2017,541.41,"Advertising, Marketing & Media"
30.11.2017,542.26,"Advertising, Marketing & Media"
30.11.2017,545.34,"Advertising, Marketing & Media"
30.11.2017,547.47,"Advertising, Marketing & Media"
30.11.2017,547.72,"Travel, venue hire and exhibition services"
30.11.2017,547.80,"Travel, venue hire and exhibition services"
30.11.2017,547.81,"Advertising, Marketing & Media"
30.11.2017,547.90,"Advertising, Marketing & Media"
30.11.2017,548.19,Facilities
30.11.2017,548.65,"Advertising, Marketing & Media"
30.11.2017,549.02,"Advertising, Marketing & Media"
30.11.2017,550.68,"Advertising, Marketing & Media"
30.11.2017,552.70,"Advertising, Marketing & Media"
30.11.2017,558.16,"Travel, venue hire and exhibition services"
30.11.2017,558.16,"Travel, venue hire and exhibition services"
30.11.2017,560.97,"Travel, venue hire and exhibition services"
30.11.2017,561.95,"Travel, venue hire and exhibition services"
30.11.2017,562.24,"Travel, venue hire and exhibition services"
30.11.2017,570.36,"Advertising, Marketing & Media"
30.11.2017,573.45,"Travel, venue hire and exhibition services"
30.11.2017,576.69,"Travel, venue hire and exhibition services"
30.11.2017,577.76,"Travel, venue hire and exhibition services"
30.11.2017,584.46,IT & Telecoms
30.11.2017,584.76,"Advertising, Marketing & Media"
30.11.2017,589.06,"Advertising, Marketing & Media"
30.11.2017,591.71,"Travel, venue hire and exhibition services"
30.11.2017,594.29,"Advertising, Marketing & Media"
30.11.2017,595.34,"Advertising, Marketing & Media"
30.11.2017,597.95,"Advertising, Marketing & Media"
30.11.2017,599.30,"Advertising, Marketing & Media"
30.11.2017,599.33,"Advertising, Marketing & Media"
30.11.2017,599.41,"Advertising, Marketing & Media"
30.11.2017,599.44,"Advertising, Marketing & Media"
30.11.2017,599.64,"Advertising, Marketing & Media"
30.11.2017,599.67,"Advertising, Marketing & Media"
30.11.2017,599.75,"Travel, venue hire and exhibition services"
30.11.2017,599.84,"Advertising, Marketing & Media"
30.11.2017,599.95,"Advertising, Marketing & Media"
30.11.2017,600.00,"Advertising, Marketing & Media"
30.11.2017,600.00,"Advertising, Marketing & Media"
30.11.2017,600.00,"Advertising, Marketing & Media"
30.11.2017,600.00,"Advertising, Marketing & Media"
30.11.2017,600.00,"Advertising, Marketing & Media"
30.11.2017,600.11,"Advertising, Marketing & Media"
30.11.2017,600.21,"Advertising, Marketing & Media"
30.11.2017,600.62,"Advertising, Marketing & Media"
30.11.2017,600.80,"Advertising, Marketing & Media"
30.11.2017,602.56,"Travel, venue hire and exhibition services"
30.11.2017,604.03,"Advertising, Marketing & Media"
30.11.2017,608.15,"Travel, venue hire and exhibition services"
30.11.2017,618.82,"Travel, venue hire and exhibition services"
30.11.2017,621.01,"Travel, venue hire and exhibition services"
30.11.2017,621.56,IT & Telecoms
30.11.2017,622.16,"Travel, venue hire and exhibition services"
30.11.2017,640.85,"Travel, venue hire and exhibition services"
30.11.2017,642.61,"Travel, venue hire and exhibition services"
30.11.2017,644.44,"Travel, venue hire and exhibition services"
30.11.2017,650.66,"Travel, venue hire and exhibition services"
30.11.2017,652.32,"Travel, venue hire and exhibition services"
30.11.2017,653.62,"Travel, venue hire and exhibition services"
30.11.2017,655.33,Professional Services
30.11.2017,655.70,"Travel, venue hire and exhibition services"
30.11.2017,668.46,"Advertising, Marketing & Media"
30.11.2017,671.12,"Travel, venue hire and exhibition services"
30.11.2017,673.59,"Travel, venue hire and exhibition services"
30.11.2017,676.40,"Travel, venue hire and exhibition services"
30.11.2017,684.99,"Advertising, Marketing & Media"
30.11.2017,686.85,"Travel, venue hire and exhibition services"
30.11.2017,687.68,"Travel, venue hire and exhibition services"
30.11.2017,690.89,"Travel, venue hire and exhibition services"
30.11.2017,692.04,"Travel, venue hire and exhibition services"
30.11.2017,697.14,Professional Services
30.11.2017,703.80,Professional Services
30.11.2017,704.22,"Travel, venue hire and exhibition services"
30.11.2017,704.99,"Advertising, Marketing & Media"
30.11.2017,707.30,Professional Services
30.11.2017,713.68,"Travel, venue hire and exhibition services"
30.11.2017,714.08,"Travel, venue hire and exhibition services"
30.11.2017,716.47,"Travel, venue hire and exhibition services"
30.11.2017,717.00,"Travel, venue hire and exhibition services"
30.11.2017,719.00,Professional Services
30.11.2017,720.00,Professional Services
30.11.2017,729.00,Facilities
30.11.2017,734.14,"Travel, venue hire and exhibition services"
30.11.2017,736.00,"Travel, venue hire and exhibition services"
30.11.2017,749.56,"Travel, venue hire and exhibition services"
30.11.2017,772.75,"Travel, venue hire and exhibition services"
30.11.2017,776.47,"Travel, venue hire and exhibition services"
30.11.2017,782.32,Facilities
30.11.2017,789.99,"Travel, venue hire and exhibition services"
30.11.2017,792.00,"Travel, venue hire and exhibition services"
30.11.2017,794.15,Facilities
30.11.2017,802.71,"Travel, venue hire and exhibition services"
30.11.2017,809.22,"Travel, venue hire and exhibition services"
30.11.2017,821.04,"Travel, venue hire and exhibition services"
30.11.2017,831.22,"Advertising, Marketing & Media"
30.11.2017,831.22,"Advertising, Marketing & Media"
