Statement date,Gross Amount,Category Level 1
29.06.2018,500.00,"Advertising, Marketing & Media"
29.06.2018,500.00,"Advertising, Marketing & Media"
29.06.2018,500.00,"Advertising, Marketing & Media"
29.06.2018,500.00,"Advertising, Marketing & Media"
29.06.2018,500.00,"Advertising, Marketing & Media"
29.06.2018,505.07,"Travel, venue hire and exhibition services"
29.06.2018,509.53,"Travel, venue hire and exhibition services"
29.06.2018,514.01,"Advertising, Marketing & Media"
29.06.2018,515.92,"Travel, venue hire and exhibition services"
29.06.2018,516.23,"Travel, venue hire and exhibition services"
29.06.2018,517.81,"Travel, venue hire and exhibition services"
29.06.2018,522.00,"Travel, venue hire and exhibition services"
29.06.2018,524.28,"Advertising, Marketing & Media"
29.06.2018,526.85,"Advertising, Marketing & Media"
29.06.2018,527.43,"Advertising, Marketing & Media"
29.06.2018,529.73,"Travel, venue hire and exhibition services"
29.06.2018,532.86,"Travel, venue hire and exhibition services"
29.06.2018,536.16,"Advertising, Marketing & Media"
29.06.2018,536.62,"Travel, venue hire and exhibition services"
29.06.2018,541.06,Facilities
29.06.2018,547.38,"Travel, venue hire and exhibition services"
29.06.2018,548.02,"Travel, venue hire and exhibition services"
29.06.2018,549.79,"Travel, venue hire and exhibition services"
29.06.2018,549.93,"Travel, venue hire and exhibition services"
29.06.2018,557.51,"Travel, venue hire and exhibition services"
29.06.2018,563.37,"Travel, venue hire and exhibition services"
29.06.2018,570.92,Facilities
29.06.2018,573.10,"Advertising, Marketing & Media"
29.06.2018,574.06,Facilities
29.06.2018,574.47,"Advertising, Marketing & Media"
29.06.2018,580.17,"Advertising, Marketing & Media"
29.06.2018,586.31,"Advertising, Marketing & Media"
29.06.2018,596.54,"Travel, venue hire and exhibition services"
29.06.2018,597.13,"Travel, venue hire and exhibition services"
29.06.2018,597.53,"Advertising, Marketing & Media"
29.06.2018,598.10,"Advertising, Marketing & Media"
29.06.2018,598.92,"Advertising, Marketing & Media"
29.06.2018,600.00,Professional Services
29.06.2018,600.00,"Travel, venue hire and exhibition services"
29.06.2018,600.01,"Travel, venue hire and exhibition services"
29.06.2018,606.39,"Travel, venue hire and exhibition services"
29.06.2018,606.59,"Advertising, Marketing & Media"
29.06.2018,609.17,Facilities
29.06.2018,619.02,"Travel, venue hire and exhibition services"
29.06.2018,623.30,Professional Services
29.06.2018,623.75,"Advertising, Marketing & Media"
29.06.2018,630.66,"Travel, venue hire and exhibition services"
29.06.2018,632.46,"Travel, venue hire and exhibition services"
29.06.2018,647.53,Facilities
29.06.2018,666.78,"Travel, venue hire and exhibition services"
29.06.2018,669.50,"Travel, venue hire and exhibition services"
29.06.2018,673.85,"Travel, venue hire and exhibition services"
29.06.2018,677.43,"Travel, venue hire and exhibition services"
29.06.2018,683.80,"Travel, venue hire and exhibition services"
29.06.2018,684.63,"Travel, venue hire and exhibition services"
29.06.2018,689.80,"Travel, venue hire and exhibition services"
