Sent for Payment Date,Approved Amount (rpt),Category Level 1
05/11/2018,"2,451.55","Travel, venue hire and exhibition services"
13/11/2018,"2,514.00",Human Resources
06/11/2018,"2,783.40","Travel, venue hire and exhibition services"
18/11/2018,"2,900.00",Human Resources
14/11/2018,"2,940.00","Travel, venue hire and exhibition services"
13/11/2018,"3,031.20",IT & Telecoms
13/11/2018,"3,287.50","Travel, venue hire and exhibition services"
05/11/2018,"3,454.65","Travel, venue hire and exhibition services"
13/11/2018,"4,100.00","Travel, venue hire and exhibition services"
13/11/2018,"4,200.00","Advertising, Marketing & Media"
22/11/2018,"4,890.71",Human Resources
22/11/2018,"14,013.13",IT & Telecoms
22/11/2018,"46,923.89",IT & Telecoms
