Statement date,Gross Amount,Category Level 1
11.06.2019,500.00,"Travel, venue hire and exhibition services"
18.06.2019,500.00,"Advertising, Marketing & Media"
18.06.2019,500.00,"Advertising, Marketing & Media"
04.06.2019,506.80,"Travel, venue hire and exhibition services"
18.06.2019,508.55,Professional Services
13.06.2019,512.75,"Travel, venue hire and exhibition services"
18.06.2019,513.90,"Advertising, Marketing & Media"
18.06.2019,515.35,"Travel, venue hire and exhibition services"
18.06.2019,520.71,"Advertising, Marketing & Media"
18.06.2019,523.72,"Travel, venue hire and exhibition services"
25.06.2019,528.63,Facilities
11.06.2019,538.36,"Travel, venue hire and exhibition services"
27.06.2019,539.42,"Travel, venue hire and exhibition services"
04.06.2019,539.75,"Travel, venue hire and exhibition services"
27.06.2019,539.91,"Travel, venue hire and exhibition services"
27.06.2019,539.91,"Travel, venue hire and exhibition services"
10.06.2019,544.67,"Advertising, Marketing & Media"
11.06.2019,545.68,IT & Telecoms
04.06.2019,546.40,"Advertising, Marketing & Media"
27.06.2019,546.75,"Advertising, Marketing & Media"
25.06.2019,550.56,"Travel, venue hire and exhibition services"
18.06.2019,556.60,"Travel, venue hire and exhibition services"
27.06.2019,562.00,"Travel, venue hire and exhibition services"
04.06.2019,564.64,"Travel, venue hire and exhibition services"
04.06.2019,577.87,"Travel, venue hire and exhibition services"
04.06.2019,592.79,"Travel, venue hire and exhibition services"
04.06.2019,593.68,"Travel, venue hire and exhibition services"
27.06.2019,600.00,"Travel, venue hire and exhibition services"
27.06.2019,600.00,"Advertising, Marketing & Media"
18.06.2019,600.00,"Advertising, Marketing & Media"
11.06.2019,600.00,"Advertising, Marketing & Media"
04.06.2019,600.00,"Advertising, Marketing & Media"
04.06.2019,601.30,"Travel, venue hire and exhibition services"
04.06.2019,601.30,"Travel, venue hire and exhibition services"
18.06.2019,604.59,"Travel, venue hire and exhibition services"
27.06.2019,611.61,"Travel, venue hire and exhibition services"
18.06.2019,617.32,"Travel, venue hire and exhibition services"
27.06.2019,622.99,"Travel, venue hire and exhibition services"
04.06.2019,626.92,"Travel, venue hire and exhibition services"
25.06.2019,632.50,"Advertising, Marketing & Media"
18.06.2019,635.98,"Travel, venue hire and exhibition services"
18.06.2019,637.10,"Travel, venue hire and exhibition services"
18.06.2019,637.17,"Advertising, Marketing & Media"
04.06.2019,643.87,"Travel, venue hire and exhibition services"
27.06.2019,647.34,Facilities
18.06.2019,647.43,Professional Services
18.06.2019,647.43,Professional Services
18.06.2019,647.77,Facilities
04.06.2019,656.32,"Travel, venue hire and exhibition services"
11.06.2019,666.44,IT & Telecoms
13.06.2019,667.00,"Advertising, Marketing & Media"
11.06.2019,667.00,"Advertising, Marketing & Media"
27.06.2019,669.77,"Travel, venue hire and exhibition services"
27.06.2019,679.73,"Travel, venue hire and exhibition services"
04.06.2019,681.42,"Advertising, Marketing & Media"
18.06.2019,681.82,Professional Services
04.06.2019,682.08,"Advertising, Marketing & Media"
11.06.2019,682.76,Professional Services
04.06.2019,683.34,Facilities
04.06.2019,683.34,Facilities
25.06.2019,683.52,Professional Services
13.06.2019,686.13,"Advertising, Marketing & Media"
13.06.2019,686.13,"Advertising, Marketing & Media"
18.06.2019,687.18,"Advertising, Marketing & Media"
27.06.2019,689.85,"Advertising, Marketing & Media"
27.06.2019,689.85,"Advertising, Marketing & Media"
