Sent for Payment Date,Approved Amount (rpt),Category Level 1
15/02/2019,"1,348.48",Human Resources
06/02/2019,"1,376.73",Professional Services
03/02/2019,"1,392.00",Human Resources
26/02/2019,"1,414.68","Travel, venue hire and exhibition services"
07/02/2019,"1,491.00",Facilities
07/02/2019,"1,491.00","Advertising, Marketing & Media"
26/02/2019,"1,497.60",Human Resources
01/02/2019,"1,506.05","Travel, venue hire and exhibition services"
03/02/2019,"1,531.67",Facilities
24/02/2019,"1,545.14","Travel, venue hire and exhibition services"
01/02/2019,"1,547.36","Travel, venue hire and exhibition services"
28/02/2019,"1,564.43","Travel, venue hire and exhibition services"
02/02/2019,"1,654.79",Facilities
26/02/2019,"1,678.59","Advertising, Marketing & Media"
27/02/2019,"1,693.55","Travel, venue hire and exhibition services"
05/02/2019,"1,766.25","Travel, venue hire and exhibition services"
27/02/2019,"1,776.53","Travel, venue hire and exhibition services"
05/02/2019,"1,809.32","Travel, venue hire and exhibition services"
11/02/2019,"1,837.50",Human Resources
16/02/2019,"1,843.16","Travel, venue hire and exhibition services"
28/02/2019,"1,880.00",Exam board fees
13/02/2019,"1,908.00",Human Resources
01/02/2019,"1,930.99",Human Resources
25/02/2019,"1,962.46",Facilities
10/02/2019,"1,965.76","Travel, venue hire and exhibition services"
28/02/2019,"2,080.00","Travel, venue hire and exhibition services"
28/02/2019,"2,080.00","Travel, venue hire and exhibition services"
27/02/2019,"2,080.89","Travel, venue hire and exhibition services"
20/02/2019,"2,114.06","Travel, venue hire and exhibition services"
06/02/2019,"2,117.23",Facilities
06/02/2019,"2,239.02",Human Resources
28/02/2019,"2,301.34","Travel, venue hire and exhibition services"
18/02/2019,"2,388.00",Human Resources
19/02/2019,"2,408.63",Human Resources
22/02/2019,"2,434.92",Human Resources
11/02/2019,"2,460.00",Human Resources
28/02/2019,"2,488.60",Human Resources
06/02/2019,"2,493.40","Travel, venue hire and exhibition services"
26/02/2019,"2,691.29","Travel, venue hire and exhibition services"
11/02/2019,"3,078.65",IT & Telecoms
26/02/2019,"3,133.66","Travel, venue hire and exhibition services"
13/02/2019,"3,373.33",Facilities
01/02/2019,"3,420.00",Human Resources
05/02/2019,"3,461.22","Travel, venue hire and exhibition services"
04/02/2019,"3,485.75","Travel, venue hire and exhibition services"
18/02/2019,"3,673.97",Human Resources
19/02/2019,"3,875.25","Travel, venue hire and exhibition services"
