Sent for Payment Date,Approved Amount (rpt),Category Level 1
04/10/2018,"1,886.21",IT & Telecoms
01/10/2018,"1,889.33",Human Resources
10/10/2018,"2,000.10",Human Resources
22/10/2018,"2,145.99","Travel, venue hire and exhibition services"
01/10/2018,"2,150.00","Travel, venue hire and exhibition services"
12/10/2018,"2,232.00",Facilities
10/10/2018,"2,273.90","Travel, venue hire and exhibition services"
10/10/2018,"2,280.32",IT & Telecoms
31/10/2018,"2,285.90","Travel, venue hire and exhibition services"
31/10/2018,"2,400.00","Travel, venue hire and exhibition services"
22/10/2018,"2,403.68","Travel, venue hire and exhibition services"
04/10/2018,"2,450.26",Human Resources
18/10/2018,"2,451.48",Facilities
22/10/2018,"2,542.40",Facilities
29/10/2018,"2,645.95",Human Resources
26/10/2018,"2,689.34","Travel, venue hire and exhibition services"
09/10/2018,"2,943.81","Travel, venue hire and exhibition services"
29/10/2018,"2,981.00","Travel, venue hire and exhibition services"
03/10/2018,"14,116.54",IT & Telecoms
03/10/2018,"45,054.92",IT & Telecoms
