Statement date,Gross amount,Category Level 1
31/05/2017,"1,030.66","Advertising, Marketing & Media"
31/05/2017,"1,036.00","Travel, venue hire and exhibition services"
31/05/2017,"1,036.00","Travel, venue hire and exhibition services"
31/05/2017,"1,036.00","Travel, venue hire and exhibition services"
31/05/2017,"1,036.00","Travel, venue hire and exhibition services"
31/05/2017,"1,036.34","Travel, venue hire and exhibition services"
31/05/2017,"1,050.00","Advertising, Marketing & Media"
31/05/2017,"1,060.83","Travel, venue hire and exhibition services"
31/05/2017,"1,068.45",IT & Telecoms
31/05/2017,"1,073.04",Professional Services
31/05/2017,"1,076.00","Travel, venue hire and exhibition services"
31/05/2017,"1,081.40","Travel, venue hire and exhibition services"
31/05/2017,"1,092.80","Travel, venue hire and exhibition services"
31/05/2017,"1,100.00","Advertising, Marketing & Media"
31/05/2017,"1,104.56",Facilities
31/05/2017,"1,164.35","Travel, venue hire and exhibition services"
31/05/2017,"1,194.02","Travel, venue hire and exhibition services"
31/05/2017,"1,197.69","Travel, venue hire and exhibition services"
31/05/2017,"1,220.31","Travel, venue hire and exhibition services"
31/05/2017,"1,244.97","Travel, venue hire and exhibition services"
31/05/2017,"1,295.00","Travel, venue hire and exhibition services"
31/05/2017,"1,295.00","Travel, venue hire and exhibition services"
31/05/2017,"1,297.33","Travel, venue hire and exhibition services"
31/05/2017,"1,325.00","Travel, venue hire and exhibition services"
31/05/2017,"1,344.35","Advertising, Marketing & Media"
31/05/2017,"1,344.35","Advertising, Marketing & Media"
31/05/2017,"1,344.35","Advertising, Marketing & Media"
31/05/2017,"1,350.00","Travel, venue hire and exhibition services"
31/05/2017,"1,441.84","Travel, venue hire and exhibition services"
31/05/2017,"1,481.00","Travel, venue hire and exhibition services"
31/05/2017,"1,536.75","Travel, venue hire and exhibition services"
31/05/2017,"1,545.00","Travel, venue hire and exhibition services"
31/05/2017,"1,580.70","Travel, venue hire and exhibition services"
31/05/2017,"1,667.40","Advertising, Marketing & Media"
31/05/2017,"1,744.94","Travel, venue hire and exhibition services"
