Statement date,Gross Amount,Category Level 1
14.05.2019,861.44,"Travel, venue hire and exhibition services"
14.05.2019,871.50,Facilities
28.05.2019,890.35,Professional Services
14.05.2019,901.53,"Travel, venue hire and exhibition services"
31.05.2019,903.56,"Advertising, Marketing & Media"
07.05.2019,906.37,"Travel, venue hire and exhibition services"
07.05.2019,906.37,"Travel, venue hire and exhibition services"
07.05.2019,906.37,"Travel, venue hire and exhibition services"
07.05.2019,906.37,"Travel, venue hire and exhibition services"
07.05.2019,906.37,"Travel, venue hire and exhibition services"
07.05.2019,913.15,Professional Services
07.05.2019,913.82,"Travel, venue hire and exhibition services"
21.05.2019,935.03,"Travel, venue hire and exhibition services"
21.05.2019,937.43,"Travel, venue hire and exhibition services"
07.05.2019,940.90,Facilities
14.05.2019,986.40,Professional Services
07.05.2019,995.00,Professional Services
31.05.2019,"1,000.00","Advertising, Marketing & Media"
28.05.2019,"1,000.00","Advertising, Marketing & Media"
14.05.2019,"1,000.00","Advertising, Marketing & Media"
07.05.2019,"1,000.00","Advertising, Marketing & Media"
07.05.2019,"1,038.91","Advertising, Marketing & Media"
07.05.2019,"1,050.00","Advertising, Marketing & Media"
21.05.2019,"1,056.00",Professional Services
14.05.2019,"1,068.12",Facilities
28.05.2019,"1,073.22",IT & Telecoms
21.05.2019,"1,086.45","Travel, venue hire and exhibition services"
14.05.2019,"1,098.00","Travel, venue hire and exhibition services"
14.05.2019,"1,126.83","Travel, venue hire and exhibition services"
28.05.2019,"1,163.28","Travel, venue hire and exhibition services"
31.05.2019,"1,174.60",Professional Services
31.05.2019,"1,200.00","Advertising, Marketing & Media"
07.05.2019,"1,200.00","Advertising, Marketing & Media"
07.05.2019,"1,200.00","Advertising, Marketing & Media"
07.05.2019,"1,254.11","Travel, venue hire and exhibition services"
17.05.2019,"1,312.43","Travel, venue hire and exhibition services"
17.05.2019,"1,320.29","Travel, venue hire and exhibition services"
14.05.2019,"1,322.63","Travel, venue hire and exhibition services"
28.05.2019,"1,350.00","Travel, venue hire and exhibition services"
21.05.2019,"1,422.00",Professional Services
21.05.2019,"1,500.00",Professional Services
21.05.2019,"1,500.00",Professional Services
21.05.2019,"1,500.00",Professional Services
21.05.2019,"1,500.00",Professional Services
21.05.2019,"1,500.00",Professional Services
21.05.2019,"1,625.46",Facilities
28.05.2019,"1,670.79",Facilities
07.05.2019,"1,871.96","Advertising, Marketing & Media"
07.05.2019,"1,896.51",IT & Telecoms
31.05.2019,"1,940.03",IT & Telecoms
07.05.2019,"1,968.22","Travel, venue hire and exhibition services"
14.05.2019,"2,105.04",Professional Services
21.05.2019,"2,377.27","Advertising, Marketing & Media"
14.05.2019,"2,800.00","Travel, venue hire and exhibition services"
14.05.2019,"2,800.00","Travel, venue hire and exhibition services"
14.05.2019,"2,800.00","Travel, venue hire and exhibition services"
31.05.2019,"3,115.82",Facilities
07.05.2019,"3,137.08","Travel, venue hire and exhibition services"
17.05.2019,"4,496.84","Travel, venue hire and exhibition services"
