Statement date,Gross Amount,Category Level 1
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,500.00,"Advertising, Marketing & Media"
29.09.2017,501.33,"Travel, venue hire and exhibition services"
29.09.2017,504.43,Facilities
29.09.2017,510.21,"Advertising, Marketing & Media"
29.09.2017,512.49,"Travel, venue hire and exhibition services"
29.09.2017,512.91,"Travel, venue hire and exhibition services"
29.09.2017,516.42,"Advertising, Marketing & Media"
29.09.2017,520.20,"Advertising, Marketing & Media"
29.09.2017,526.14,"Advertising, Marketing & Media"
29.09.2017,527.50,"Travel, venue hire and exhibition services"
29.09.2017,527.52,"Travel, venue hire and exhibition services"
29.09.2017,528.65,"Travel, venue hire and exhibition services"
29.09.2017,529.57,"Advertising, Marketing & Media"
29.09.2017,529.72,"Travel, venue hire and exhibition services"
29.09.2017,530.10,Facilities
29.09.2017,532.82,"Advertising, Marketing & Media"
29.09.2017,537.71,"Advertising, Marketing & Media"
29.09.2017,537.81,"Travel, venue hire and exhibition services"
29.09.2017,537.95,"Travel, venue hire and exhibition services"
29.09.2017,541.20,"Advertising, Marketing & Media"
29.09.2017,541.89,"Advertising, Marketing & Media"
29.09.2017,541.95,"Advertising, Marketing & Media"
29.09.2017,543.10,"Advertising, Marketing & Media"
29.09.2017,546.16,"Advertising, Marketing & Media"
29.09.2017,547.14,"Advertising, Marketing & Media"
29.09.2017,547.21,"Advertising, Marketing & Media"
29.09.2017,548.62,"Travel, venue hire and exhibition services"
29.09.2017,548.79,"Travel, venue hire and exhibition services"
29.09.2017,548.79,"Travel, venue hire and exhibition services"
29.09.2017,548.79,"Travel, venue hire and exhibition services"
29.09.2017,548.79,"Travel, venue hire and exhibition services"
29.09.2017,549.14,Facilities
29.09.2017,552.66,"Advertising, Marketing & Media"
29.09.2017,553.48,"Advertising, Marketing & Media"
29.09.2017,553.99,"Advertising, Marketing & Media"
29.09.2017,557.68,"Advertising, Marketing & Media"
29.09.2017,558.88,"Advertising, Marketing & Media"
29.09.2017,558.90,"Advertising, Marketing & Media"
29.09.2017,560.34,"Travel, venue hire and exhibition services"
29.09.2017,562.95,"Advertising, Marketing & Media"
29.09.2017,563.43,"Travel, venue hire and exhibition services"
29.09.2017,564.48,"Travel, venue hire and exhibition services"
29.09.2017,565.13,"Advertising, Marketing & Media"
29.09.2017,566.03,"Advertising, Marketing & Media"
29.09.2017,567.79,"Travel, venue hire and exhibition services"
29.09.2017,569.17,"Advertising, Marketing & Media"
29.09.2017,572.45,"Advertising, Marketing & Media"
29.09.2017,578.14,"Advertising, Marketing & Media"
29.09.2017,578.14,"Advertising, Marketing & Media"
29.09.2017,579.25,"Travel, venue hire and exhibition services"
29.09.2017,582.19,"Travel, venue hire and exhibition services"
29.09.2017,582.51,"Travel, venue hire and exhibition services"
29.09.2017,585.83,"Advertising, Marketing & Media"
29.09.2017,588.08,"Advertising, Marketing & Media"
29.09.2017,588.50,"Advertising, Marketing & Media"
29.09.2017,588.71,"Advertising, Marketing & Media"
29.09.2017,589.21,"Advertising, Marketing & Media"
29.09.2017,591.08,"Advertising, Marketing & Media"
29.09.2017,591.84,"Advertising, Marketing & Media"
29.09.2017,592.36,"Advertising, Marketing & Media"
29.09.2017,593.70,"Travel, venue hire and exhibition services"
29.09.2017,594.09,"Travel, venue hire and exhibition services"
29.09.2017,594.33,"Advertising, Marketing & Media"
29.09.2017,595.36,"Advertising, Marketing & Media"
29.09.2017,595.74,Professional Services
29.09.2017,596.33,"Advertising, Marketing & Media"
29.09.2017,596.94,"Advertising, Marketing & Media"
29.09.2017,596.96,"Advertising, Marketing & Media"
29.09.2017,597.00,"Advertising, Marketing & Media"
29.09.2017,597.18,"Advertising, Marketing & Media"
29.09.2017,597.91,"Advertising, Marketing & Media"
29.09.2017,597.96,"Advertising, Marketing & Media"
29.09.2017,598.05,"Advertising, Marketing & Media"
29.09.2017,598.14,"Advertising, Marketing & Media"
29.09.2017,598.25,"Travel, venue hire and exhibition services"
29.09.2017,599.00,"Advertising, Marketing & Media"
29.09.2017,599.22,"Advertising, Marketing & Media"
29.09.2017,600.00,Professional Services
29.09.2017,600.01,"Advertising, Marketing & Media"
29.09.2017,600.06,"Advertising, Marketing & Media"
29.09.2017,600.15,"Advertising, Marketing & Media"
29.09.2017,600.17,"Advertising, Marketing & Media"
29.09.2017,600.20,"Advertising, Marketing & Media"
29.09.2017,600.32,"Advertising, Marketing & Media"
29.09.2017,600.39,"Advertising, Marketing & Media"
29.09.2017,600.44,"Advertising, Marketing & Media"
29.09.2017,606.26,Professional Services
29.09.2017,606.50,Professional Services
29.09.2017,614.48,Facilities
29.09.2017,620.43,Facilities
29.09.2017,631.87,IT & Telecoms
29.09.2017,634.42,"Travel, venue hire and exhibition services"
29.09.2017,638.72,"Travel, venue hire and exhibition services"
29.09.2017,647.19,"Travel, venue hire and exhibition services"
29.09.2017,649.21,"Travel, venue hire and exhibition services"
29.09.2017,649.79,Professional Services
29.09.2017,662.92,"Travel, venue hire and exhibition services"
29.09.2017,662.96,"Travel, venue hire and exhibition services"
29.09.2017,663.00,Professional Services
